Date,Year,Quarter,Target name,Investors / Buyers,Type,Category,AI,"Size, $m",% acquired,Sector,Segment,Target's Country,Region,Target Founded,Gender,Target's Website,Short Deal Description,Deal Link,Amount_Status,IG_ID,Mapped_Type,Mapped_Category,arc_id,arc_status,arc_name,arc_also_known_as,arc_aliases,arc_type,arc_founded,arc_hq_country,arc_hq_region,arc_ownership,arc_sector,arc_segment,arc_features,arc_specialization,arc_aum,arc_parent_company,arc_transactions_count,arc_was_added,arc_created_by,arc_was_changed,arc_modified_by,arc_search_index
04/01/2020,2020,Q1'20,Callisto Gaming,Undisclosed,Seed round,Early-stage VC,No,0.5,,Esports,Esports,Singapore,Asia,2019.0,Men,https://www.instagram.com/callisto.gaming/,"Callisto Gaming, a Singapore-based women eSports organization, raised US$500k in funding from undisclosed investors",http://www.finsmes.com/2020/01/callisto-gaming-raises-usd-500k-seed-funding.html?utm_source=feedburner&utm_medium=twitter&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29,DISCLOSED,4,seed,Early-stage investment,1125.0,IMPORTED,Callisto Gaming,,,Strategic / CVC,2019.0,Singapore,Southeast Asia,Private,Esports,,,Generalist,,,0.0,21/06/2025 20:12,,21/06/2025 20:12,,
07/01/2020,2020,Q1'20,Platinum Games,Tencent (SEHK: 700),Corporate,Corporate,No,0.0,,Gaming,PC&Console,Japan,Asia,2006.0,Men,https://www.platinumgames.com/,"Platinum Games has secured capital investment from Chinese giant Tencent as the acclaimed Japanese studio continues its journey into self-publishing. The details of the investment, including the amount, have not been disclosed but the studio has stressed that -- unlike past Tencent investments -- the deal does not involve a change of ownership.",https://www.gamesindustry.biz/articles/2020-01-07-platinum-games-accelerates-self-publishing-plans-with-tencent-investment,UNDISCLOSED,8,undisclosed late-stage,Late-stage investment,1127.0,IMPORTED,Platinum Games,,,Strategic / CVC,2006.0,Japan,Eastern Asia,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0.0,21/06/2025 20:12,,21/06/2025 20:12,,
09/01/2020,2020,Q1'20,Extra Dimension Games,Accelerator Centres AC JumpStart program,Accelerator/Incubator,Early-stage VC,No,0.03,,Gaming,Mobile,Canada,North America,2018.0,Men,https://extradimension.games/ ,"Ontario-based companies are receiving $30,000 in seed funding and $10,000 of in-kind business support services such as one-to-one professional mentorship under the Accelerator Centre's AC JumpStart program. One of them is Extra Dimension Games",https://www.acceleratorcentre.com/news/news-release-accelerator-centre-announces-ac-jumpstart-program-cohort-11,DISCLOSED,14,accelerator / grant,Early-stage investment,1129.0,IMPORTED,Extra Dimension Games,,,Strategic / CVC,2018.0,Canada,North America,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0.0,21/06/2025 20:12,,21/06/2025 20:12,,
10/01/2020,2020,Q1'20,YDx Innovation (TSXV:YDX),Undisclosed,"PIPE, Other",Public offering,No,0.3,,Platform&Tech,Tech,Canada,North America,2000.0,Men,https://ydxinnovation.com/,"Vancouver-based technology company YDx Innovation Corp., focused on Augmented and Virtual Reality, eSports events and Interactive Exhibitions, has completed a non-brokered private placement financing, selling an aggregate of 1,538,460 units at a price of $0.195 per Unit, for gross proceeds of $300,000. Each Unit consists of one common share of the Company and one share purchase warrant. Each Warrant is exercisable into one additional Share at a price of $0.285 per Share for a period of two years from the date of issuance.",https://www.accesswire.com/572755/YDX-Announces-Closing-of-Non-brokered-Private-Placement,DISCLOSED,16,pipe,Public offering,1130.0,IMPORTED,YDx Innovation,TSXV:YDX,YDx Innovation (TSXV:YDX),Strategic / CVC,2000.0,Canada,North America,Private,Platform & Tech,,,Generalist,,,0.0,21/06/2025 20:12,,21/06/2025 20:12,,
14/01/2020,2020,Q1'20,Gamerji,Qatar Sportstech Accelerator,Accelerator/Incubator,Early-stage VC,No,0.15,,Other,Cash-related,India,Asia,2019.0,Men,https://www.gamerji.com/,"Gamerji, a start-up that offers an e-sports tournament platform, has been selected by Qatar Sports Tech for its accelerator programme. As part of the programme, Qatar Sports Tech will invest $150,000 in Gamerji and incubate the company, while also creating a base in Qatar, thereby, opening up opportunities in the West Asian market.",https://www.thehindubusinessline.com/info-tech/gamerji-selected-for-qatar-sports-techs-accelerator-programme/article30582704.ece,DISCLOSED,18,accelerator / grant,Early-stage investment,3381.0,IMPORTED,Gamerji,,,Strategic / CVC,2019.0,India,Southern and Central_Asia,Private,Other,,Cash/Skill-based/RMG,Generalist,,,0.0,06/07/2025 10:11,,06/07/2025 10:11,,"Gamerji, IN, Southern and Central_Asia"
21/01/2020,2020,Q1'20,Kuuhubb,Undisclosed,"PIPE, Other",Public offering,No,2.3,,Gaming,Mobile,Canada,North America,2017.0,Men,https://kuuhubb.com/ ,Kuuhubb Announces Non-Brokered Private Placement of EUR2 Million Convertible Debenture,https://kuuhubb.com/2020/01/21/kuuhubb-announces-non-brokered-private-placement-of-e2-million-convertible-debenture/,DISCLOSED,28,pipe,Public offering,676.0,IMPORTED,Kuuhubb,TSX-V: KUU,Kuuhubb (TSX-V: KUU),Strategic / CVC,2017.0,Canada,North America,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0.0,21/06/2025 20:10,,21/06/2025 20:10,,
22/01/2020,2020,Q1'20,Stillfront Group (STO: SF),Undisclosed,"PIPE, Other",Public offering,No,137.65,13.0,Gaming,Mobile,Sweden,Western Europe,2010.0,Men,https://www.stillfront.com/en/,"Stillfront conducts directed share issues raising proceeds of SEK 1.3 billion to finance the acquisition of Storm8, Inc. and strengthens future financial flexibility","https://news.cision.com/stillfront-group-ab/r/stillfront-conducts-directed-share-issues-raising-proceeds-of-sek-1-3-billion-to-finance-the-acquisi,c3014326",DISCLOSED,33,pipe,Public offering,135.0,ENABLED,Stillfront Group,,Stillfront Group (STO: SF),Strategic / CVC,2010.0,Sweden,Nordic Countries,Public,Gaming (Content Development/Publishing),Mobile,,Generalist,,,26.0,16/04/2025 18:19,naumvano@gmail.com,17/04/2025 17:56,naumvano@gmail.com,
24/01/2020,2020,Q1'20,ArtCraft Entertainment,Undisclosed,Series A,Early-stage VC,No,11.71,,Gaming,PC&Console,United States,North America,2013.0,Men,www.crowfall.com,"ArtCraft Entertainment has raised $11.7 million to help finish and launch its MMO, Crowfall.",https://venturebeat.com/2020/01/28/crowfall-raises-another-11-9-million-for-its-mmo-venture/,DISCLOSED,37,series a,Early-stage investment,1136.0,IMPORTED,ArtCraft Entertainment,,,Strategic / CVC,2013.0,USA,North America,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0.0,21/06/2025 20:12,,21/06/2025 20:12,,
29/01/2020,2020,Q1'20,Skybound,"Com2uS Corporation (KOSDAQ:A078340) / C Ventures Fund, Third Wave Digital Partners",Corporate,Corporate,No,0.0,,Gaming,Mobile,United States,North America,2010.0,Men,www.skybound.com,"Skybound Entertainment has closed a new funding round, led by the South Korean online publisher Com2uS. The round also featured contributions from C Ventures and Third Wave Digital, both of which will ""support Skybound's global expansion.""",https://www.gamesindustry.biz/articles/2020-01-29-com2us-leads-new-investment-round-in-skybound-entertainment,UNDISCLOSED,46,undisclosed late-stage,Late-stage investment,769.0,ENABLED,Skybound Entertainment,Skybound,,Strategic / CVC,2010.0,USA,North America,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,3.0,21/06/2025 20:10,,30/08/2025 20:04,sergeyevdokimov1@gmail.com,"Skybound Entertainment, Skybound, US, North America, http://www.skybound.com"
01/02/2020,2020,Q1'20,Play Magnus,"Cape Capital, Investinor, Myrlid, Tine Pensjonskasse",Series B+,Late-stage VC,No,13.5,28.0,Gaming,Multiplatform,Norway,Western Europe,2013.0,,https://www.playmagnusgroup.com/,"The Norwegian tech company Play Magnus AS has raised NOK 126 million ($13.5 million) in a private placement financing round. Through the private placement backed by existing investors including MP Pensjon PK and Myrlid AS, the Norwegian venture fund Investinor and Swiss Cape Capital AG have each acquired approximately 7% ownership stakes in the company.",https://www.uktech.news/news/play-magnus-raises-$135-million-20200305,DISCLOSED,50,undisclosed late-stage,Late-stage investment,158.0,ENABLED,Play Magnus,OB:PMG,Play Magnus (OB:PMG),Strategic / CVC,2013.0,Norway,Nordic Countries,Private,Gaming (Content Development/Publishing),Multiplatform/Web,,Generalist,,,0.0,18/04/2025 07:31,naumvano@gmail.com,28/08/2025 20:49,sergeyevdokimov1@gmail.com,"Play Magnus, OB:PMG, NO, Nordic Countries, https://www.playmagnusgroup.com/"
