id,status,name,also_known_as,aliases,type,founded,hq_country,hq_region,ownership,sector,segment,features,specialization,aum,parent_company,transactions_count,was_added,created_by,was_changed,modified_by,search_index,arc_website,IG_ID,investor_role
,TO BE ENRICHED,10T,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,10T,,2198,participant
,TO BE ENRICHED,11 Tribes Ventures,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,11 Tribes Ventures,,1701,lead
,IMPORTED,1312 Interactive,,,Strategic / CVC,2024,India,Southern and Central_Asia,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,"1312 Interactive, India, Southern and Central_Asia",https://www.1312interactive.com/,3909,TARGET
,IMPORTED,14 gaming studios,,,Strategic / CVC,1800,Saudi Arabia,MENA,Private,Gaming (Content & Development Publishing),Multiplatform/Web,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,"14 gaming studios, Saudi Arabia, MENA",https://www.exelbymerak.com/gaming-accelerator,4160,TARGET
,TO BE ENRICHED,1AM Gaming,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,1AM Gaming,,4058,lead
,TO BE ENRICHED,1UP Ventures,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,1UP Ventures,,"73, 1176, 2155, 3248","participant, participant, participant, participant"
,TO BE ENRICHED,1Up Ventures,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,1Up Ventures,,3975,participant
,TO BE ENRICHED,1kx,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,1kx,,4075,lead
,IMPORTED,2Watch,,,Strategic / CVC,2020,Italy,Southern Europe,Private,Esports,Esports,,Generalist,,,0,2025-09-05 01:23:34,,2025-09-05 01:23:34,,"2Watch, Italy, Southern Europe",,1016,TARGET
,TO BE ENRICHED,32-Bit Ventures,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,32-Bit Ventures,,3102,participant
,TO BE ENRICHED,32bit Ventures,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,32bit Ventures,,2693,participant
,IMPORTED,4game,,,Strategic / CVC,2008,Russia,Eastern Europe,Private,Platform & Tech,Platform & Tech,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,"4game, Russia, Eastern Europe",https://eu.4game.com/,4102,TARGET
,TO BE ENRICHED,500 Startups,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,500 Startups,,67,lead
,TO BE ENRICHED,505 Games,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,505 Games,,947,lead
,TO BE ENRICHED,5Y Capital,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,5Y Capital,,86,lead
,IMPORTED,5th Planet Games,OB:FIVEPG,5th Planet Games (OB:FIVEPG),Strategic / CVC,2011,Denmark,Nordic Countries,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,2025-09-05 01:23:33,,2025-09-05 01:23:33,,"5th Planet Games, Denmark, Nordic Countries",http://www.5thplanetgames.com/,246,TARGET
,TO BE ENRICHED,6th Man Ventures,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,6th Man Ventures,,4121,lead
,IMPORTED,77Studios,,,Strategic / CVC,2022,USA,North America,Private,Platform & Tech,Blockchain-powered,Blockchain/web3,Generalist,,,0,2025-09-05 01:23:35,,2025-09-05 01:23:35,,"77Studios, USA, North America",https://77studios.io/,2642,TARGET
,TO BE ENRICHED,7GC,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,7GC,,3788,participant
,TO BE ENRICHED,83NORTH,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,83NORTH,,2535,participant
,TO BE ENRICHED,8DAO,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,8DAO,,2482,participant
,TO BE ENRICHED,A100X,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,A100X,,4098,participant
,TO BE ENRICHED,ABC Animation,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,ABC Animation,,3594,lead
,TO BE ENRICHED,AEG,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,AEG,,547,participant
,TO BE ENRICHED,AET Fund,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,AET Fund,,4138,participant
,ENABLED,AG Super Play Club,"Chengdu AG Super Play Club, AG Super Play",,Strategic / CVC,2016,China,Eastern Asia,Private,Esports,Esports,,Generalist,,,0,2025-09-05 01:23:34,,2025-09-05 01:23:34,,"AG Super Play Club, China, Eastern Asia",,381,TARGET
,TO BE ENRICHED,AI Futures Fund,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,AI Futures Fund,,4132,participant
,IMPORTED,AMT Games,,,Strategic / CVC,2010,Switzerland,Western Europe,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,2025-09-05 01:23:35,,2025-09-05 01:23:35,,"AMT Games, Switzerland, Western Europe",http://amt-games.com,2589,TARGET
,TO BE ENRICHED,APY Ventures,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,APY Ventures,,"4110, 4112","participant, participant"
,IMPORTED,ASPO,,,Strategic / CVC,2021,Vietnam,Southeast Asia,Private,Platform & Tech,Blockchain-powered,Blockchain/web3,Generalist,,,0,2025-09-05 01:23:35,,2025-09-05 01:23:35,,"ASPO, Vietnam, Southeast Asia",https://aspo.world/,1522,TARGET
,TO BE ENRICHED,AU21 Capital,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,AU21 Capital,,"1459, 1612","participant, participant"
,IMPORTED,AVY Entertainment,,,Strategic / CVC,2018,USA,North America,Private,Platform & Tech,Platform,,Generalist,,,0,2025-09-05 01:23:35,,2025-09-05 01:23:35,,"AVY Entertainment, USA, North America",https://tempostorm.com/,1974,TARGET
,IMPORTED,AY Games,,,Strategic / CVC,2017,Russia,Eastern Europe,Private,Gaming (Content & Development Publishing),Mobile,,Generalist,,,0,2025-09-05 01:23:35,,2025-09-05 01:23:35,,"AY Games, Russia, Eastern Europe",https://aygamesco.com/,1511,TARGET
,IMPORTED,Aarki,,,Strategic / CVC,2010,United States,North America,Private,Platform & Tech,Platform & Tech,AI/ML,Generalist,,,0,2025-09-05 01:23:34,,2025-09-05 01:23:34,,"Aarki, United States, North America",https://www.aarki.com/,1110,TARGET
,TO BE ENRICHED,Abacus Ventures Growth Fund,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Abacus Ventures Growth Fund,,3843,participant
,TO BE ENRICHED,Abu Dhabi Investment Office,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Abu Dhabi Investment Office,,3296,lead
,TO BE ENRICHED,Accel,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Accel,,"1986, 2659, 4028","participant, lead, participant"
,TO BE ENRICHED,Accelerator Centres AC JumpStart program,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Accelerator Centres AC JumpStart program,,14,lead
,TO BE ENRICHED,Accelerator Ventures,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Accelerator Ventures,,4095,participant
,IMPORTED,Ace Games,,,Strategic / CVC,2020,Turkey,Middle East,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,2025-09-05 01:23:34,,2025-09-05 01:23:34,,"Ace Games, Turkey, Middle East",,986,TARGET
,TO BE ENRICHED,Acies Acquisition Corp,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Acies Acquisition Corp,,1159,lead
,TO BE ENRICHED,Across Private Investments,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Across Private Investments,,3759,lead
,TO BE ENRICHED,Actera,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Actera,,864,lead
,TO BE ENRICHED,Actoz,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Actoz,,902,participant
