id,status,name,also_known_as,aliases,type,founded,hq_country,hq_region,ownership,sector,segment,features,specialization,aum,parent_company,transactions_count,was_added,created_by,was_changed,modified_by,search_index,arc_website,IG_ID,ig_role
3480,ENABLED,10T Holdings,10T,,Venture Capital & Accelerators,2019,USA,North America,Private,,,,Generalist,1200,,3,21/07/2025 16:17,vsidv1777@gmail.com,29/08/2025 18:25,sergeyevdokimov1@gmail.com,"10T Holdings, 10T, US, North America, https://50tfunds.com/",,2198,participant
7993,IS INCOMPLETE,11 Tribes Ventures,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:52,,30/08/2025 18:52,,"11 Tribes Ventures, notenoughinformation, notenoughinformation",,1701,lead
2814,IMPORTED,1312 Interactive,,,Strategic / CVC,2024,India,Southern and Central_Asia,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,21/06/2025 20:22,,21/06/2025 20:22,,,https://www.1312interactive.com/,3909,target
,TO BE CREATED,14 gaming studios,,,Strategic / CVC,1800,Saudi Arabia,MENA,Private,Gaming (Content & Development Publishing),Multiplatform/Web,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"14 gaming studios, Saudi Arabia, MENA",https://www.exelbymerak.com/gaming-accelerator,4160,target
13,ENABLED,1AM Gaming,,,Venture Capital & Accelerators,2019,USA,North America,Private,,,,Gaming,120,,5,04/04/2025 08:49,naumvano@gmail.com,20/04/2025 12:35,idoziru,,,4058,lead
14,ENABLED,1Up Ventures,1UP,,Venture Capital & Accelerators,2019,USA,North America,Private,,,,Gaming,24,,47,04/04/2025 08:51,naumvano@gmail.com,19/05/2025 17:10,vsidv1777@gmail.com,,,"73, 1176, 2155, 3248, 3975","participant, participant, participant, participant, participant"
9921,IS INCOMPLETE,1kx,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,8,30/08/2025 18:54,,30/08/2025 18:54,,"1kx, notenoughinformation, notenoughinformation",,4075,lead
1563,IMPORTED,2Watch,,,Strategic / CVC,2020,Italy,Southern Europe,Private,Esports,,,Generalist,,,0,21/06/2025 20:14,,21/06/2025 20:14,,,,1016,target
,TO BE CREATED,4game,,,Strategic / CVC,2008,Russia,Eastern Europe,Private,Platform & Tech,Platform & Tech,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"4game, Russia, Eastern Europe",https://eu.4game.com/,4102,target
9933,IS INCOMPLETE,500 Startups,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,4,30/08/2025 18:54,,30/08/2025 18:54,,"500 Startups, notenoughinformation, notenoughinformation",,67,lead
8226,IS INCOMPLETE,505 Games,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:52,,30/08/2025 18:52,,"505 Games, notenoughinformation, notenoughinformation",,947,lead
3549,ENABLED,5Y Capital,Morningside Venture Capital,,Venture Capital & Accelerators,2008,China,Eastern Asia,Private,,,,Generalist,5000,,3,22/07/2025 11:40,vsidv1777@gmail.com,22/07/2025 11:40,vsidv1777@gmail.com,"5Y Capital, Morningside Venture Capital, CN, Eastern Asia, https://www.5ycap.com/en/about/",,86,lead
1223,IMPORTED,5th Planet Games,OB:FIVEPG,5th Planet Games (OB:FIVEPG),Strategic / CVC,2011,Denmark,Nordic Countries,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,21/06/2025 20:12,,21/06/2025 20:12,,,http://www.5thplanetgames.com/,246,target
3651,ENABLED,6th Man Ventures,6MV,,Venture Capital & Accelerators,2021,USA,North America,Private,,,,Generalist,,,8,29/07/2025 09:08,vsidv1777@gmail.com,29/07/2025 09:08,vsidv1777@gmail.com,"6th Man Ventures, 6MV, US, North America, https://6thman.ventures/",,4121,lead
2267,IMPORTED,77Studios,,,Strategic / CVC,2022,USA,North America,Private,Platform & Tech,,Blockchain/web3,Generalist,,,0,21/06/2025 20:18,,21/06/2025 20:18,,,https://77studios.io/,2642,target
11124,IS INCOMPLETE,7GC,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:55,,30/08/2025 18:55,,"7GC, notenoughinformation, notenoughinformation",,3788,participant
,TO BE CREATED,83NORTH,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,83NORTH,http://notenoughinformation.com,2535,participant
9393,IS INCOMPLETE,8DAO,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:53,,30/08/2025 18:53,,"8DAO, notenoughinformation, notenoughinformation",,2482,participant
,TO BE CREATED,A100X,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,A100X,http://notenoughinformation.com,4098,participant
8615,IS INCOMPLETE,ABC Animation,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:53,,30/08/2025 18:53,,"ABC Animation, notenoughinformation, notenoughinformation",,3594,lead
11237,IS INCOMPLETE,AEG,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:55,,30/08/2025 18:55,,"AEG, notenoughinformation, notenoughinformation",,547,participant
9914,IS INCOMPLETE,AET Fund,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:54,,30/08/2025 18:54,,"AET Fund, notenoughinformation, notenoughinformation",,4138,participant
3851,ENABLED,AG Super Play Club,"Chengdu AG Super Play Club, AG Super Play",,Strategic / CVC,2016,China,Eastern Asia,Private,Esports,,,Generalist,,,0,28/08/2025 20:56,sergeyevdokimov1@gmail.com,28/08/2025 20:56,sergeyevdokimov1@gmail.com,"AG Super Play Club, Chengdu AG Super Play Club, AG Super Play, CN, Eastern Asia, https://escharts.com/teams/hok/agsp",,381,target
,TO BE CREATED,AI Futures Fund,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,AI Futures Fund,http://notenoughinformation.com,4132,participant
3062,IMPORTED,AMT Games,,,Strategic / CVC,2010,Switzerland,Western Europe,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,29/06/2025 13:47,,29/06/2025 13:47,,,http://amt-games.com,2589,target
11109,IS INCOMPLETE,APY Ventures,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,3,30/08/2025 18:55,,30/08/2025 18:55,,"APY Ventures, notenoughinformation, notenoughinformation",,"4110, 4112","participant, participant"
1754,IMPORTED,ASPO,,,Strategic / CVC,2021,Vietnam,Southeast Asia,Private,Platform & Tech,,Blockchain/web3,Generalist,,,0,21/06/2025 20:15,,21/06/2025 20:15,,,https://aspo.world/,1522,target
9090,IS INCOMPLETE,AU21 Capital,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,15,30/08/2025 18:53,,30/08/2025 18:53,,"AU21 Capital, notenoughinformation, notenoughinformation",,"1459, 1612","participant, participant"
3153,IMPORTED,AVY Entertainment,,,Strategic / CVC,2018,USA,North America,Private,Platform & Tech,,,Generalist,,,0,29/06/2025 13:56,,29/06/2025 13:56,,,https://tempostorm.com/,1974,target
,TO BE CREATED,AY Games,,,Strategic / CVC,2017,Russia,Eastern Europe,Private,Gaming (Content & Development Publishing),Mobile,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"AY Games, Russia, Eastern Europe",https://aygamesco.com/,1511,target
,TO BE CREATED,Aarki,,,Strategic / CVC,2010,United States,North America,Private,Platform & Tech,Platform & Tech,AI/ML,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Aarki, United States, North America",https://www.aarki.com/,1110,target
10459,IS INCOMPLETE,Abacus Ventures Growth Fund,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:54,,30/08/2025 18:54,,"Abacus Ventures Growth Fund, notenoughinformation, notenoughinformation",,3843,participant
8209,IS INCOMPLETE,Abu Dhabi Investment Office,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,2,30/08/2025 18:52,,30/08/2025 18:52,,"Abu Dhabi Investment Office, notenoughinformation, notenoughinformation",,3296,lead
272,ENABLED,Accel,Accel Partners,,Venture Capital & Accelerators,1983,USA,North America,Private,,,,Generalist,8000,,15,25/04/2025 08:51,naumvano@gmail.com,19/05/2025 17:14,vsidv1777@gmail.com,,,"1986, 2659, 4028","participant, lead, participant"
8215,IS INCOMPLETE,Accelerator Centre's AC JumpStart program,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:52,,30/08/2025 18:52,,"Accelerator Centre's AC JumpStart program, notenoughinformation, notenoughinformation",,14,lead
,TO BE CREATED,Accelerator Ventures,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Accelerator Ventures,http://notenoughinformation.com,4095,participant
3007,IMPORTED,Ace Games,,,Strategic / CVC,2020,Turkey,Middle East,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,29/06/2025 13:41,,29/06/2025 13:41,,,,986,target
8479,IS INCOMPLETE,Acies Acquisition Corp,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,2,30/08/2025 18:52,,30/08/2025 18:52,,"Acies Acquisition Corp, notenoughinformation, notenoughinformation",,1159,lead
10400,IS INCOMPLETE,Across Private Investments,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,2,30/08/2025 18:54,,30/08/2025 18:54,,"Across Private Investments, notenoughinformation, notenoughinformation",,3759,lead
7915,IS INCOMPLETE,Actera Group,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,4,30/08/2025 18:52,,30/08/2025 18:52,,"Actera Group, notenoughinformation, notenoughinformation",,864,lead
10872,IS INCOMPLETE,Actoz,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:55,,30/08/2025 18:55,,"Actoz, notenoughinformation, notenoughinformation",,902,participant
2691,IMPORTED,Acute XR,,,Strategic / CVC,2024,USA,North America,Private,Gaming (Content Development/Publishing),VR/AR,,Generalist,,,0,21/06/2025 20:21,,21/06/2025 20:21,,,https://acutexr.com/,3633,target
,TO BE CREATED,Adact,,,Strategic / CVC,2019,Estonia,Eastern Europe,Private,Platform & Tech,Platform & Tech,AI/ML,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Adact, Estonia, Eastern Europe",https://adact.me/,3916,target
685,IMPORTED,Admix,,,Strategic / CVC,2017,United Kingdom,British Isles,Private,Platform & Tech,,,Generalist,,,1,21/06/2025 20:10,,21/06/2025 20:10,,,,454,target
2097,IMPORTED,Adora.io,,,Strategic / CVC,2022,USA,North America,Private,Gaming (Content Development/Publishing),Outsourcing/WFH,,Generalist,,,0,21/06/2025 20:17,,21/06/2025 20:17,,,www.aldora.io/,2272,target
8833,IS INCOMPLETE,Adrian Colbert,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:53,,30/08/2025 18:53,,"Adrian Colbert, notenoughinformation, notenoughinformation",,2215,participant
3074,IMPORTED,Adventure Box,STO: ADVBOX,Adventure Box (STO: ADVBOX),Strategic / CVC,2014,Sweden,Nordic Countries,Private,Gaming (Content Development/Publishing),Multiplatform/Web,,Generalist,,,0,29/06/2025 13:48,,29/06/2025 13:48,,,,492,target
,TO BE CREATED,Adways,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Adways,http://notenoughinformation.com,1769,participant
2935,ENABLED,Aether Games,,,Strategic / CVC,2021,USA,North America,Private,Platform & Tech,,Blockchain/web3,Generalist,,,0,29/06/2025 13:33,,29/08/2025 15:12,sergeyevdokimov1@gmail.com,"Aether Games, US, North America, https://www.aethergames.io/",https://www.aethergames.io/,2799,target
,TO BE CREATED,Affinity Esports Group,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Affinity Esports Group,http://notenoughinformation.com,4161,lead
