TRANSACTION_ID,DATE,AMOUNT,ROUND,CATEGORY,STATUS,SOURCE,ORIGINAL_IG_INDEX,ORIGINAL_IG_ID,TARGET_COMPANY_ID,TARGET_COMPANY_NAME,INVESTORS_COUNT,INVESTOR_1_ID,INVESTOR_1_NAME,INVESTOR_1_ROLE,INVESTOR_2_ID,INVESTOR_2_NAME,INVESTOR_2_ROLE,INVESTOR_3_ID,INVESTOR_3_NAME,INVESTOR_3_ROLE,INVESTOR_4_ID,INVESTOR_4_NAME,INVESTOR_4_ROLE,INVESTOR_5_ID,INVESTOR_5_NAME,INVESTOR_5_ROLE,INVESTOR_6_ID,INVESTOR_6_NAME,INVESTOR_6_ROLE,INVESTOR_7_ID,INVESTOR_7_NAME,INVESTOR_7_ROLE,INVESTOR_8_ID,INVESTOR_8_NAME,INVESTOR_8_ROLE,INVESTOR_9_ID,INVESTOR_9_NAME,INVESTOR_9_ROLE,INVESTOR_10_ID,INVESTOR_10_NAME,INVESTOR_10_ROLE,INVESTOR_11_ID,INVESTOR_11_NAME,INVESTOR_11_ROLE,INVESTOR_12_ID,INVESTOR_12_NAME,INVESTOR_12_ROLE,INVESTOR_13_ID,INVESTOR_13_NAME,INVESTOR_13_ROLE,INVESTOR_14_ID,INVESTOR_14_NAME,INVESTOR_14_ROLE,INVESTOR_15_ID,INVESTOR_15_NAME,INVESTOR_15_ROLE,INVESTOR_16_ID,INVESTOR_16_NAME,INVESTOR_16_ROLE,INVESTOR_17_ID,INVESTOR_17_NAME,INVESTOR_17_ROLE,INVESTOR_18_ID,INVESTOR_18_NAME,INVESTOR_18_ROLE,INVESTOR_19_ID,INVESTOR_19_NAME,INVESTOR_19_ROLE,INVESTOR_20_ID,INVESTOR_20_NAME,INVESTOR_20_ROLE,INVESTOR_21_ID,INVESTOR_21_NAME,INVESTOR_21_ROLE,INVESTOR_22_ID,INVESTOR_22_NAME,INVESTOR_22_ROLE,INVESTOR_23_ID,INVESTOR_23_NAME,INVESTOR_23_ROLE
IG_0,04/01/2020,0.5,seed,Early-stage investment,IMPORTED,InvestGame,0,4,[1]TBC,Callisto Gaming,1,[2]TBC,Undisclosed,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_1,07/01/2020,0.0,undisclosed late-stage,Late-stage investment,IMPORTED,InvestGame,1,8,[3]TBC,Platinum Games,1,[4]TBC,Tencent (SEHK: 700),lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_2,09/01/2020,0.03,accelerator / grant,Early-stage investment,IMPORTED,InvestGame,2,14,[5]TBC,Extra Dimension Games,1,[6]TBC,Accelerator Centres AC JumpStart program,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_3,10/01/2020,0.3,pipe,Public offering,IMPORTED,InvestGame,3,16,[7]TBC,YDx Innovation (TSXV:YDX),1,[2]TBC,Undisclosed,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_4,14/01/2020,0.15,accelerator / grant,Early-stage investment,IMPORTED,InvestGame,4,18,[8]TBC,Gamerji,1,[9]TBC,Qatar Sportstech Accelerator,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_5,21/01/2020,2.3,pipe,Public offering,IMPORTED,InvestGame,5,28,[10]TBC,Kuuhubb,1,[2]TBC,Undisclosed,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_6,22/01/2020,137.65,pipe,Public offering,IMPORTED,InvestGame,6,33,[11]TBC,Stillfront Group (STO: SF),1,[2]TBC,Undisclosed,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_7,24/01/2020,11.71,series a,Early-stage investment,IMPORTED,InvestGame,7,37,[12]TBC,ArtCraft Entertainment,1,[2]TBC,Undisclosed,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_8,29/01/2020,0.0,undisclosed late-stage,Late-stage investment,IMPORTED,InvestGame,8,46,[13]TBC,Skybound,3,[14]TBC,Com2uS Corporation (KOSDAQ:A078340),lead,[15]TBC,C Ventures Fund,participant,[16]TBC,Third Wave Digital Partners,participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_9,01/02/2020,13.5,undisclosed late-stage,Late-stage investment,IMPORTED,InvestGame,9,50,[17]TBC,Play Magnus,4,[18]TBC,Cape Capital,lead,[19]TBC,Investinor,participant,[20]TBC,Myrlid,participant,[21]TBC,Tine Pensjonskasse,participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
