current_name,id,status,arcadia_name,also_known_as,aliases,ig_ids,match_source
10T Holdings,3480.0,ENABLED,10T Holdings,10T,,2198,Direct match or manual
11 Tribes Ventures,7993.0,IS INCOMPLETE,11 Tribes Ventures,,,1701,Direct match or manual
1312 Interactive,2814.0,IMPORTED,1312 Interactive,,,3909,Direct match or manual
1AM Gaming,13.0,ENABLED,1AM Gaming,,,4058,Direct match or manual
1Up Ventures,14.0,ENABLED,1Up Ventures,1UP,,"73, 1176, 2155, 3248, 3975",Direct match or manual
1kx,9921.0,IS INCOMPLETE,1kx,,,4075,Direct match or manual
2Watch,1563.0,IMPORTED,2Watch,,,1016,Direct match or manual
32-bit Ventures,7978.0,IS INCOMPLETE,32-bit Ventures,,,"3102, 2693",Direct match or manual
500 Startups,9933.0,IS INCOMPLETE,500 Startups,,,67,Direct match or manual
505 Games,8226.0,IS INCOMPLETE,505 Games,,,947,Direct match or manual
5Y Capital,3549.0,ENABLED,5Y Capital,Morningside Venture Capital,,86,Direct match or manual
5th Planet Games,1223.0,IMPORTED,5th Planet Games,OB:FIVEPG,5th Planet Games (OB:FIVEPG),246,Direct match or manual
6th Man Ventures,3651.0,ENABLED,6th Man Ventures,6MV,,4121,Direct match or manual
77Studios,2267.0,IMPORTED,77Studios,,,2642,Direct match or manual
7GC,11124.0,IS INCOMPLETE,7GC,,,3788,Direct match or manual
8DAO,9393.0,IS INCOMPLETE,8DAO,,,2482,Direct match or manual
ABC Animation,8615.0,IS INCOMPLETE,ABC Animation,,,3594,Direct match or manual
AEG,11237.0,IS INCOMPLETE,AEG,,,547,Direct match or manual
AET Fund,9914.0,IS INCOMPLETE,AET Fund,,,4138,Direct match or manual
AG Super Play Club,3851.0,ENABLED,AG Super Play Club,"Chengdu AG Super Play Club, AG Super Play",,381,Direct match or manual
AMT Games,3062.0,IMPORTED,AMT Games,,,2589,Direct match or manual
APY Ventures,11109.0,IS INCOMPLETE,APY Ventures,,,"4110, 4112",Direct match or manual
ARK Invest,3679.0,ENABLED,ARK Invest,,,3788,Direct match or manual
ASPO,1754.0,IMPORTED,ASPO,,,1522,Direct match or manual
AU21 Capital,9090.0,IS INCOMPLETE,AU21 Capital,,,"1459, 1612",Direct match or manual
AVY Entertainment,3153.0,IMPORTED,AVY Entertainment,,,1974,Direct match or manual
AZA Ventures,9902.0,IS INCOMPLETE,AZA Ventures,,,3733,Direct match or manual
Abacus Ventures Growth Fund,10459.0,IS INCOMPLETE,Abacus Ventures Growth Fund,,,3843,Direct match or manual
Abu Dhabi Investment Office,8209.0,IS INCOMPLETE,Abu Dhabi Investment Office,,,3296,Direct match or manual
Accel,272.0,ENABLED,Accel,Accel Partners,,"1986, 2659, 4028",Direct match or manual
Accelerator Centre's AC JumpStart program,8215.0,IS INCOMPLETE,Accelerator Centre's AC JumpStart program,,,14,Direct match or manual
Ace Games,3007.0,IMPORTED,Ace Games,,,986,Direct match or manual
Acies Acquisition Corp,8479.0,IS INCOMPLETE,Acies Acquisition Corp,,,1159,Direct match or manual
Across Private Investments,10400.0,IS INCOMPLETE,Across Private Investments,,,3759,Direct match or manual
Actera Group,7915.0,IS INCOMPLETE,Actera Group,,,864,Direct match or manual
Actoz,10872.0,IS INCOMPLETE,Actoz,,,902,Direct match or manual
Acute XR,2691.0,IMPORTED,Acute XR,,,3633,Direct match or manual
Admix,685.0,IMPORTED,Admix,,,454,Direct match or manual
Adora.io,2097.0,IMPORTED,Adora.io,,,2272,Direct match or manual
Adrian Colbert,8833.0,IS INCOMPLETE,Adrian Colbert,,,2215,Direct match or manual
Adventure Box,3074.0,IMPORTED,Adventure Box,STO: ADVBOX,Adventure Box (STO: ADVBOX),492,Direct match or manual
Aether Games,2935.0,ENABLED,Aether Games,,,2799,Direct match or manual
Affyn,907.0,IMPORTED,Affyn,,,"1341, 1768",Direct match or manual
Agileo Ventures,10852.0,IS INCOMPLETE,Agileo Ventures,,,969,Direct match or manual
Aiming,1365.0,IMPORTED,Aiming,,,535,Direct match or manual
AirConsole,2463.0,IMPORTED,AirConsole,,,3116,Direct match or manual
Airnow,8045.0,IS INCOMPLETE,Airnow,,,1695,Direct match or manual
Akatsuki,1388.0,ENABLED,Akatsuki,TSE:3932,Akatsuki Inc. (TSE:3932),592,Direct match or manual
Alesta Elektronik,8779.0,IS INCOMPLETE,Alesta Elektronik,,,2994,Direct match or manual
Alexis Bonte,9723.0,IS INCOMPLETE,Alexis Bonte,,,1328,Direct match or manual
Algorand,9293.0,IS INCOMPLETE,Algorand,,,2274,Direct match or manual
Algorand Foundation,9571.0,IS INCOMPLETE,Algorand Foundation,,,2274,Direct match or manual
Alinea Capital,10856.0,IS INCOMPLETE,Alinea Capital,,,969,Direct match or manual
Alkho Witherspoon,8840.0,IS INCOMPLETE,Alkho Witherspoon,,,2215,Direct match or manual
All In Games - Ghostrunner (IP sale),3340.0,ENABLED,All In Games - Ghostrunner (IP sale),Ghostrunner,,947,Direct match or manual
All Star Capital,10270.0,IS INCOMPLETE,All Star Capital,,,1286,Direct match or manual
Allied Esports Entertainment,728.0,ENABLED,Allied Esports Entertainment,NasdaqCM:AESE,"Allied Esports Entertainment Inc.,Allied Esports Entertainment Inc. (NasdaqCM:AESE)","241, 3134",Direct match or manual
Alpaca VC,3755.0,ENABLED,Alpaca VC,,,3450,Direct match or manual
Alpaka Games,2863.0,IMPORTED,Alpaka Games,,,4147,Direct match or manual
Alpha Sigma Capital,8848.0,IS INCOMPLETE,Alpha Sigma Capital,,,2215,Direct match or manual
Alpha Wave Ventures,9832.0,IS INCOMPLETE,Alpha Wave Ventures,,,2198,Direct match or manual
Alpha3D,954.0,IMPORTED,Alpha3D,,,2997,Direct match or manual
AlphaCoin Fund,9647.0,IS INCOMPLETE,AlphaCoin Fund,,,1612,Direct match or manual
Altered State Machine,9809.0,IS INCOMPLETE,Altered State Machine,,,1982,Direct match or manual
Altos Ventures,3527.0,ENABLED,Altos Ventures,,,3864,Direct match or manual
Alumni Ventures,3581.0,ENABLED,Alumni Ventures,,,"4070, 4095",Direct match or manual
Amazon's Alexa Fund,9410.0,IS INCOMPLETE,Amazon's Alexa Fund,,,2882,Direct match or manual
Amber,563.0,ENABLED,Amber,Amber Group,ambergroup.io,2367,Direct match or manual
Amplitude Studios,2746.0,IMPORTED,Amplitude Studios,,,4048,Direct match or manual
