ID,Status*,Announcement date*,Target Company,"Transaction Size*, $M",Transaction Type*,Transaction Category*,closed date,To be closed,Lead Investor / Acquirer,Other Investors,Source URL*,Description*,Transaction UUID,"Equity Value at Listing, $M",Internal information,signature company,signature date,signature investor,signature deal type,source data,created at
3711,ON APPROVAL,2025-07-03,Distinct Possibility Studios,30.5,Undisclosed Early-stage,Early-stage Investments,2025-07-03,0,BITKRAFT Ventures,"Brevan Howard, Decasonic, Delphi Ventures, Hashed, North Island Ventures, Shima Capital, Tezos Foundation",https://gamesbeat.com/john-smedley-unveils-distinct-possibility-studios-open-world-extraction-game-reaper-actual/,"<p>US-based game developer Distinct Possibility Studios has raised $30.5m in a funding round led by BITKRAFT Ventures, with participation from Brevan Howard, Tezos Foundation, Hashed, Delphi Ventures, Shima Capital, North Island Ventures, Decasonic, and other investors. The funds will support the development and launch of Reaper Actual, an open-world AAA shooter with web3 elements.<br>&nbsp;</p>",67d4deb7-fb67-44f0-9ea9-87afebd5b5ec,,<p>&nbsp;</p>,distinctpossibilitystudios,25july,noleadinvestor,undisclosedearly-stage,,2025-08-31 15:20:56
3710,ON APPROVAL,2025-02-21,Enad Global 7,32.9,Fixed Income,Public offering,2025-02-21,0,Undisclosed,,https://www.enadglobal7.com/press-releases/eg7-succesfully-places-senior-unsecured-bonds-of-sek-350-million/,<p>Sweden-based multiplatform game developer and publisher Enad Global 7 (ST: EG7) has secured $32.9m (SEK 350m) in senior unsecured bonds with a floating rate coupon of 3-month STIBOR plus 6.25% per annum under a bond framework of up to $94m (SEK 1B). The bonds are set to be issued at the end of Feb’25. The funds will be used for M&amp;A activity and investments in game development.</p>,7a9cbc89-f60e-41fc-9a53-ac5798aac8b3,,<p>&nbsp;</p>,enadglobal7,25february,noleadinvestor,fixedincome,,2025-08-31 15:15:27
3709,ON APPROVAL,2025-01-13,Azerion,51.4,Fixed Income,Public offering,2025-01-13,0,Undisclosed,,https://live.euronext.com/en/products/equities/company-news/2025-01-13-azerion-successfully-lists-its-subsequent-bonds-amount,<p>Azerion successfully lists its Subsequent Bonds in an amount of EUR 50 million on Nasdaq Stockholm<br>&nbsp;</p>,80918f8c-9369-4adb-a672-438b0e237508,,<p>&nbsp;</p>,azerion,25january,noleadinvestor,fixedincome,,2025-08-31 14:16:26
3708,ON APPROVAL,2025-08-23,Kammelna,52.0,M&A control (incl. LBO/MBO),M&A,2025-08-23,0,IMPACT46,,https://www.linkedin.com/posts/impact-46_impact46-x-kammelna-activity-7365387734300917761-b9Ss?utm_source=share&utm_medium=member_desktop&rcm=ACoAADlRzdEBtz5HhOXSl-qM8Xqh498R49_TY5I,"<p>Saudi Arabia-based investment firm Impact46 has acquired mobile games developer Kammelna for more than $53m (SAR 200m). The acquisition aims to expand culturally grounded digital IP and scale Kammelna’s operations. The studio is best known for its mobile card game Baloot, which has reached 6 million downloads and 1 million MAU. This transaction marks the largest deal to date for Impact46.&nbsp;</p>",da114bf7-3f49-449c-b1c1-a8348dfd561b,,<p>&nbsp;</p>,kammelna,25august,noleadinvestor,m&acontrol(incl.lbo/mbo),,2025-08-31 14:15:05
3707,ON APPROVAL,2025-08-13,Appcharge,58.0,Series B,Late-stage Investments,2025-08-13,0,Institutional Venture Partners,"BITKRAFT Ventures, Corundum, Creandum, Glilot Capital Partners, Moneta Ventures, Playrix, Play Ventures, Smilegate Investment",https://www.ivp.com/content/appcharge-putting-power-back-in-the-hands-of-game-developers/,"<p>Israel-based payments platform for game developers Appcharge has raised $58m in a Series B funding round led by IVP, with participation from Playrix, BITKRAFT Ventures, Creandum, Play Ventures, Corundum, Glilot Capital Partners, Smilegate Investment, Moneta VC, and other investors. The funding will be used to grow the team across engineering, customer experience, product, and compliance, accelerate roadmap features, and strengthen infrastructure. Appcharge provides direct-to-consumer monetization infrastructure such as web stores, payment links, real-time segmentation, rolling offers, and merchant of record services. The platform processed over $500m in transactions for the last twelve months. This round follows the company’s $26m Series A funding round in Nov’24, bringing total raised funds to $84m.<br>&nbsp;</p>",fd19fa13-7f44-49de-a0bf-06c1273725ea,,<p>&nbsp;</p>,appcharge,25august,noleadinvestor,seriesb,,2025-08-31 14:13:02
3706,ON APPROVAL,2025-07-31,Good Job Games,60.0,Series A,Early-stage Investments,2025-07-31,0,"Anthos Capital, Menlo Ventures",Bessemer Venture Partners,https://menlovc.com/perspective/doubling-down-on-good-job-games/,"<p>Istanbul-based mobile studio Good Job Games has secured $60m in Series A funding, co-led by Menlo Ventures and Anthos Capital, with additional participation from Bessemer Venture Partners. The round brings the company’s total funding to $83m, following a $23m Seed round closed in Mar’25.<br>&nbsp;</p>",cff854d5-106d-4494-8fc6-1c26ee85c2fd,,<p>&nbsp;</p>,goodjobgames,25july,noleadinvestor,seriesa,,2025-08-31 14:05:24
3705,ON APPROVAL,2025-07-25,Eleventh Hour Games,96.0,M&A control (incl. LBO/MBO),M&A,2025-07-25,0,Krafton,,https://krafton.com/en/news/press/krafton-acquires-eleventh-hour-games-creators-of-last-epoch/,"<p>South Korea-based gaming holding Krafton (KRX: 259960) has acquired 100% of US-based PC &amp; Console game developer Eleventh Hour Games for approximately $96m (KRW 132.4B). The studio, known for its ARPG Last Epoch, will continue to operate independently following the acquisition.<br>&nbsp;</p>",3daed186-cf88-498a-b33e-6d639fd7bb43,,<p>&nbsp;</p>,eleventhhourgames,25july,noleadinvestor,m&acontrol(incl.lbo/mbo),,2025-08-31 13:47:48
3704,ON APPROVAL,2025-01-13,Beijing Yonghang Technology,113.0,M&A minority,M&A,2025-01-13,0,China Ruyi,,https://www.tipranks.com/news/company-announcements/china-ruyi-strengthens-gaming-portfolio-with-tencent-acquisition,<p>China Ruyi Strengthens Gaming Portfolio with Tencent Acquisition. China Ruyi acquires 30% equity in a target company from Tencent for RMB825 million.</p>,d04bc9fa-4724-468e-8ed6-56dd3e5a0d45,,<p>&nbsp;</p>,beijingyonghangtechnology,25january,noleadinvestor,m&aminority,,2025-08-31 13:46:15
3703,ON APPROVAL,2025-07-09,Neptune,115.1,M&A minority,M&A,2025-07-09,0,Krafton,,https://biz.chosun.com/en/en-it/2025/04/29/TW2DBMHGORDQFPSTOMBJ6WACFI/,"<p>According to the Financial Supervisory Service's electronic disclosure system on the 29th, KRAFTON announced that it acquired 1,837,039 shares of Neptune owned by Kakao Games for 164.95851 billion won. This equates to 2.42% of KRAFTON's equity. After the acquisition, KRAFTON's stake in Neptune will be 42.53%, including its previously held shares.</p>",a164b3c3-7ada-4d05-b7e5-38edeae91aee,,<p>&nbsp;</p>,neptune,25july,krafton,m&aminority,,2025-08-31 13:40:27
3702,ON APPROVAL,2025-07-24,Bandai Namco Entertainment,464.0,M&A minority,M&A,2025-07-24,0,Sony Group Corporation,,https://www.sony.com/en/SonyInfo/News/Press/202507/25-0724E/,"<p>Japan-based Sony Group Corporation (TYO: 6758; NYSE: SONY) has agreed to acquire a 2.5% stake in Bandai Namco (TYO: 7832) for $464m (¥68B), purchasing approximately 16 million shares. The deal is positioned as a strategic partnership aimed at deepening collaboration across gaming, anime, and content distribution, with a particular emphasis on anime and manga IP.<br>&nbsp;</p>",4cd947d7-1e16-45cd-98b9-5f8841cc54d7,,<p>&nbsp;</p>,bandainamcoentertainment,25july,sonygroupcorporation,m&aminority,,2025-08-31 13:36:24
