id,status,name,also_known_as,aliases,type,founded,hq_country,hq_region,ownership,sector,segment,features,specialization,aum,parent_company,transactions_count,was_added,created_by,was_changed,modified_by,search_index
11271,IS INCOMPLETE,01 Advisors,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:55:36,,2025-08-30 18:55:36,,"01 Advisors, notenoughinformation, notenoughinformation"
10056,IS INCOMPLETE,0xVentures,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:54:25,,2025-08-30 18:54:25,,"0xVentures, notenoughinformation, notenoughinformation"
1783,IMPORTED,100 Thieves,,,Strategic / CVC,2017,USA,North America,Private,Esports,,,Generalist,,,1,2025-06-21 20:15:55,,2025-07-02 12:36:37,idoziru,
11251,IS INCOMPLETE,100X.VC,,,TestType,1800,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,2025-08-30 18:55:35,,2025-08-30 18:55:35,,"100X.VC, notenoughinformation, notenoughinformation"
3113,ENABLED,1047 Games,,,Strategic / CVC,2017,USA,North America,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,1,2025-06-29 13:52:07,,2025-07-21 15:03:45,vsidv1777@gmail.com,"1047 Games, US, North America, http://1047games.com/"
1326,IMPORTED,10 Chambers,,,Strategic / CVC,2015,Sweden,Nordic Countries,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,2025-06-21 20:13:25,,2025-06-21 20:13:25,,
3310,IS INCOMPLETE,10heroes,,,Strategic / CVC,1800,notenoughinformation,notenoughinformation,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,2025-07-05 18:35:07,,2025-07-05 18:35:07,,"10heroes, notenoughinformation, notenoughinformation, notenoughinformation.com"
2068,IMPORTED,10K Riders,,,Strategic / CVC,2021,Cyprus,Middle East,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,2025-06-21 20:17:31,,2025-06-22 19:34:03,idoziru,
2847,IMPORTED,10Six Games,,,Strategic / CVC,2024,United Kingdom,British Isles,Private,Gaming (Content Development/Publishing),PC/Console,AI/ML,Generalist,,,0,2025-06-21 20:22:41,,2025-06-21 20:22:41,,
3480,ENABLED,10T Holdings,10T,,Venture Capital & Accelerators,2019,USA,North America,Private,,,,Generalist,1200.0,,3,2025-07-21 16:17:44,vsidv1777@gmail.com,2025-08-29 18:25:17,sergeyevdokimov1@gmail.com,"10T Holdings, 10T, US, North America, https://50tfunds.com/"
