Date,Year,Quarter,Target name,Investors / Buyers,Type,Category,AI,"Size, $m",% acquired,Sector,Segment,Target's Country,Region,Target Founded,Gender,Target's Website,Short Deal Description,Deal Link,Amount_Status
01/01/2020,2020,Q1'20,E-Pal,Andreessen Horowitz (a16z),Seed round,Early-stage VC,No,3.3,,Platform&Tech,Blockchain-powered,United States,North America,2020.0,,https://www.epal.gg/,E-PAL secured $3 million in seed funding from a16z,https://www.theblock.co/post/300659/balance-game-launches-ecosystem-platform-aiming-to-revolutionize-the-web3-gaming-industry?modal=newsletter,DISCLOSED
01/01/2020,2020,Q1'20,Legionfarm,Y Combinator,Accelerator/Incubator,Early-stage VC,No,0.15,7.0,Esports,Esports,United States,North America,2016.0,Men,https://legionfarm.com/,"Legionfarm (Platform for training and hiring professionals in virtual worlds) has raised investments from Y Combinator, and will present at Y Combinator’s upcoming demo day.",https://techcrunch.com/2020/03/12/yc-backed-legionfarm-lets-competitive-gamers-pay-to-play-with-pro-coaches/,DISCLOSED
01/01/2020,2020,Q1'20,Medal.tv ,"Makers Fund, Horizon Ventures, Dune Ventures",Series B,Late-stage VC,No,15.0,,Platform&Tech,Platform,The Netherlands,Western Europe,2015.0,Men,https://medal.tv/,"Netherlands-based platform for short-form video for games Medal.tv has raised $60m in fundings. The company received a $45m round led by Omers Ventures, and a $15m round from Makers Fund, Horizon Ventures, Dune Ventures, and other investors. The funding will help Medal.tv to add more technology solutions for its platform, scale the team and get more resources for further development.",https://venturebeat.com/2021/12/14/medal-tv-raises-60m-as-creators-clip-2m-game-moments-a-day/,DISCLOSED
02/01/2020,2020,Q1'20,Yippee! Entertainment,Team 17 (LON: TM17),Control,M&A,No,1.79,100.0,Gaming,PC&Console,United Kingdom,Western Europe,2011.0,,https://www.yippee-entertainment.com,"Team17 acquires Yippee Entertainment for GBP1.4m. Developer behind Chimpact and Commandos 2 remaster will work on new IP, plus brands owned by Worms firm and its partners",https://www.gamesindustry.biz/articles/2020-01-02-team17-acquires-yippee-entertainment-for-1-4m,DISCLOSED
04/01/2020,2020,Q1'20,Callisto Gaming,,Seed round,Early-stage VC,No,0.5,,Esports,Esports,Singapore,Asia,2019.0,Men,https://www.instagram.com/callisto.gaming/,"Callisto Gaming, a Singapore-based women eSports organization, raised US$500k in funding from undisclosed investors
",http://www.finsmes.com/2020/01/callisto-gaming-raises-usd-500k-seed-funding.html?utm_source=feedburner&utm_medium=twitter&utm_campaign=Feed%3A+finsmes%2FcNHu+%28FinSMEs%29,DISCLOSED
06/01/2020,2020,Q1'20,GGIntel,Fred Done,Seed round,Early-stage VC,No,0.0,,Esports,Esports,United Kingdom,Western Europe,2019.0,Men,https://www.ggrecon.com,"Fred Done, co-founder of bookmaker Betfred, has invested in Manchester-based esports publication GGIntel.",https://esportsinsider.com/2020/01/fred-done-backs-ggintel/ ,UNDISCLOSED
06/01/2020,2020,Q1'20,Ilyon Dynamics,Miniclip (Tencent),Control,M&A,No,100.0,100.0,Gaming,Mobile,Israel,MENA,2013.0,Men,https://www.ilyon.net/,"Founded in 2013, Ilyon Games is best known as a casual developer with titles such as Bubble Shooter, Cookie Rush, and Power Pop Bubbles. Tencent-owned Miniclip purchases Ilyon Games for $100 million.",https://www.pocketgamer.biz/news/72285/report-miniclip-acquires-ilyon-100-million-usd/,DISCLOSED
07/01/2020,2020,Q1'20,Game Garden,MGVC (MY.GAMES) (lead) / GEM Capital,Series A,Early-stage VC,No,0.0,,Gaming,Mobile,United States,North America,2018.0,Men,https://game-garden.com/ru/about,"US-based mobile games developer Game Garden has raised an undisclosed sum in a Sereis A funding round led by MGVC, with participation from Gem Capital",,UNDISCLOSED
07/01/2020,2020,Q1'20,Platinum Games,Tencent (SEHK: 700),Corporate,Corporate,No,0.0,,Gaming,PC&Console,Japan,Asia,2006.0,Men,https://www.platinumgames.com/,"Platinum Games has secured capital investment from Chinese giant Tencent as the acclaimed Japanese studio continues its journey into self-publishing. The details of the investment, including the amount, have not been disclosed but the studio has stressed that -- unlike past Tencent investments -- the deal does not involve a change of ownership.",https://www.gamesindustry.biz/articles/2020-01-07-platinum-games-accelerates-self-publishing-plans-with-tencent-investment,UNDISCLOSED
07/01/2020,2020,Q1'20,Npixel,"Altos Ventures, Saehan Startup Investment (lead) / Coupang Corp., Woowa Brothers Corp., Krafton, Roblox Corporation Roblox (NYSE: RBLX)",Series A,Early-stage VC,No,25.9,10.0,Gaming,Mobile,South Korea,Asia,2017.0,Men,https://www.npixel.co.kr/,"Npixel was formed in September 2017 by a group of developers who previously worked on Seven Knights, a popular Netmarble mobile game. Its first game, Gran Saga, is scheduled for release in South Korea in the first half of 2020. South Korean developer Npixel has secured 30 billion won ($25.9 million) in its series A funding round to help launch its first game Gran Saga. As reported by Osen, the investment round was led by Saehan Startup Investment and Altos Ventures. It is reportedly the largest sum raised by a South Korean games company at series A.",https://e27.co/todays-top-tech-news-npixel-clobotics-zenier-raise-big-investments-20200116/,DISCLOSED
08/01/2020,2020,Q1'20,Gloops,GRDRIVE Inc.,Control,M&A,No,0.0,100.0,Gaming,Mobile,Japan,Asia,2005.0,Men,https://wednesday-movie.jp/en,"After acquiring the mobile development studio Gloop in 2012 for ¥36.5 billion (more than $468 million at the time), Nexon agreed December 24 to sell the subsidiary to GR Drive for ¥1 ($0.01).",https://www.gamesindustry.biz/articles/2020-01-09-nexon-sells-gloops,UNDISCLOSED
08/01/2020,2020,Q1'20,LIV,Hiro Capital,Series A,Early-stage VC,No,2.6,,Platform&Tech,Platform,United States,North America,2016.0,Men,https://www.liv.tv/,LIV Secures $2.6m in Funding From Hiro Capital for its game VR streaming platform,https://www.businesswire.com/news/home/20191119005448/en/LIV-Secures-2.6m-Funding-Hiro-Capital-Revolutionary,DISCLOSED
08/01/2020,2020,Q1'20,Midnite,"Makers Fund (lead) / Venrex Investment Management, Betfair International, GVC Holdings ",Seed round,Early-stage VC,No,2.5,,Other,Cash-related,Italy,Western Europe,2020.0,Men,https://midnite.com/,"Midnite, the London-based esports betting startup from the same team behind daily fantasy football app Dribble, has raised just over $2.5 million in funding. The “strategic” investment is led by gaming-focused venture firm Makers Fund.",https://techcrunch.com/2020/01/08/midnite/,DISCLOSED
08/01/2020,2020,Q1'20,Rheo TV,"Sequoia Capital, Lightspeed Venture Partners (lead) / Dinesh Kumar, Gaurav Munjal, Hemesh Singh, Mahesh Narayanan, Phanindra Sama, Roman Saini ",Seed round,Early-stage VC,No,2.0,,Platform&Tech,Platform,India,Asia,2018.0,Men,https://rheotv.com/ ,"Venture Capital firm Sequoia Capital India’s early-stage accelerator Surge continues to create buzz with yet another graduate raising seed funding. Talking to Inc42, Saksham Keshri, cofounder and CEO, Rheo, said that the company has raised $2 Mn in seed funding.",https://inc42.com/buzz/aiming-to-create-gaming-influencers-rheo-raises-seed-funds-from-sequoia-surge-lightspeed/ ,DISCLOSED
09/01/2020,2020,Q1'20,Extra Dimension Games,Accelerator Centre’s AC JumpStart program,Accelerator/Incubator,Early-stage VC,No,0.03,,Gaming,Mobile,Canada,North America,2018.0,Men,https://extradimension.games/ ,"Ontario-based companies are receiving $30,000 in seed funding and $10,000 of in-kind business support services such as one-to-one professional mentorship under the Accelerator Centre’s AC JumpStart program. One of them is Extra Dimension Games",https://www.acceleratorcentre.com/news/news-release-accelerator-centre-announces-ac-jumpstart-program-cohort-11,DISCLOSED
10/01/2020,2020,Q1'20,Return Entertainment,"Sisu Game Ventures, Gamefounders (lead) / undisclosed angels",Seed round,Early-stage VC,No,0.5,,Gaming,Multiplatform,Finland,Western Europe,2019.0,Men,http://returnentertainment.com/,Developer working on methods to fully utilize the power of cloud native gaming.,,DISCLOSED
10/01/2020,2020,Q1'20,YDx Innovation (TSXV:YDX),,"PIPE, Other",Public offering,No,0.3,,Platform&Tech,Tech,Canada,North America,2000.0,Men,https://ydxinnovation.com/,"Vancouver-based technology company YDx Innovation Corp., focused on Augmented and Virtual Reality, eSports events and Interactive Exhibitions, has completed a non-brokered private placement financing, selling an aggregate of 1,538,460 units at a price of $0.195 per Unit, for gross proceeds of $300,000. Each Unit consists of one common share of the Company and one share purchase warrant. Each Warrant is exercisable into one additional Share at a price of $0.285 per Share for a period of two years from the date of issuance.",https://www.accesswire.com/572755/YDX-Announces-Closing-of-Non-brokered-Private-Placement,DISCLOSED
13/01/2020,2020,Q1'20,Cyber Legacy,Freedom International Group,Seed round,Early-stage VC,No,5.5,,Esports,Esports,Russia,Eastern Europe,2020.0,Men,http://cyblegacy.com/,Freedom International Group has invested $5m in creation of Moscow-based esports platform Cyber Legacy,https://www.cybersport.ru/dota-2/news/freedom-international-group-investirovala-v-rossiiskii-kibersport-kompaniya-sozdast-novyi-klub-i-studiyu-analitiki ,DISCLOSED
14/01/2020,2020,Q1'20,Gamerji,Qatar Sportstech Accelerator,Accelerator/Incubator,Early-stage VC,No,0.15,,Other,Cash-related,India,Asia,2019.0,Men,https://www.gamerji.com/,"Gamerji, a start-up that offers an e-sports tournament platform, has been selected by Qatar Sports Tech for its accelerator programme. As part of the programme, Qatar Sports Tech will invest $150,000 in Gamerji and incubate the company, while also creating a base in Qatar, thereby, opening up opportunities in the West Asian market.",https://www.thehindubusinessline.com/info-tech/gamerji-selected-for-qatar-sports-techs-accelerator-programme/article30582704.ece,DISCLOSED
14/01/2020,2020,Q1'20,Vital Game Studios,"Konvoy Ventures, Streamlined Ventures",Seed round,Early-stage VC,No,5.0,,Platform&Tech,Tech,United States,North America,2018.0,Men,https://vitalreality.io/,"Konvoy Ventures and Streamlined Ventures invested in Vital Reality, a company that develops Origami (cloud with modular architecture)",https://medium.com/konvoy/a-new-era-for-game-engines-4efb08ad3dd5,DISCLOSED
15/01/2020,2020,Q1'20,MegaFans (Mobile eSports Gaming Fanatics),"Sisu Game Ventures, SMOK Ventures (lead) / NGP Capital ",Seed round,Early-stage VC,No,0.87,,Gaming,PC&Console,Poland,Eastern Europe,2019.0,Men,http://exitplangames.com/,"Exit Plan has raised 200,000 euro amount of venture funding from Sisu Game Ventures, SMOK Ventures and NGP Capital on January 15, 2020.",https://december32.net/2020/01/23/eksklyuziv-jose-teixeira-i-damien-monnier-byvshie-razrabotchiki-the-witcher-3-i-dying-light-2-otkryli-studiyu-exit-plan-games-i-poluchili-investiczii/,DISCLOSED
15/01/2020,2020,Q1'20,Promotion Software (Sixteen Tons Entertainment),Phoenix Games,Control,M&A,No,0.0,100.0,Gaming,Multiplatform,Germany,Western Europe,1993.0,Men,https://www.sixteen-tons.de,"Promotion Software is a Berlin and Tubingen-based development group that's existed since 1993 and has developed games for PC, console, and mobile. Its best-known work is the Emergency series, which has spanned over ten standalone entries, including recent free-to-play mobile title Emergency HQ and the PC Complete Emergency collection.",https://www.gamesindustry.biz/articles/2020-01-15-phoenix-games-acquires-sixteen-tons-entertainment,UNDISCLOSED
15/01/2020,2020,Q1'20,Starbreeze (STO: STAR B),Digital Bros (MIL: DIB),"PIPE, Other",Public offering,No,2.7,5.76,Gaming,PC&Console,Sweden,Western Europe,1998.0,Men,https://www.starbreeze.com,"Digital Bros. will raise its stake in Starbreeze to more than 30%, through the acquisition of all assets held by Crossfire developer Smilegate. The total price of the deal will be EUR19.2 million, for assets with a nominal value of EUR36 million.",https://www.digitalbros.com/wp-content/uploads/2020/01/2020-01-15_Varvtre-PR.pdf,DISCLOSED
16/01/2020,2020,Q1'20,Gamerji,La-Gajjar Machineries,Seed round,Early-stage VC,No,0.4,,Other,Cash-related,India,Asia,2019.0,Men,https://www.gamerji.com,"Gamerji, which is an Esports tournament platform, has now secured $400000 from the La Gajjar Group, an investment group based out of Ahmedabad.",https://techstory.in/gamerji-secred-400k-from-la-gajjar-group/,DISCLOSED
